Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
EGF2836,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KXNA,Northwest Arkansas Rgnl,"Fayetteville/Springdale/, AR",7/11/13 0:50,7/11/13 1:37,0:47
SKW5211,CRJ7/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 0:51,7/11/13 2:41,1:50
AAL1469,MD83/Q ,KPIT,Pittsburgh Intl,"Pittsburgh, PA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:52,7/11/13 3:18,2:26
AMF1721,SW4/A ,KAMA,Amarillo Intl,"Amarillo, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:52,7/11/13 2:08,1:16
FFT139,A320/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDEN,Denver Intl,"Denver, CO",7/11/13 0:53,7/11/13 2:40,1:47
EGF3310,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMLU,Monroe Rgnl,"Monroe, LA",7/11/13 0:53,7/11/13 1:40,0:47
EGF2757,E145/Q ,KXNA,Northwest Arkansas Rgnl,"Fayetteville/Springdale/, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:54,7/11/13 1:39,0:45
EGF3121,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KAMA,Amarillo Intl,"Amarillo, TX",7/11/13 0:54,7/11/13 1:42,0:48
AMF1745,BE99/A ,KLBB,Lubbock Smith Intl,"Lubbock, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:54,7/11/13 2:16,1:22
DAL84,MD88/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KATL,Hartsfield-Jackson Intl,"Atlanta, GA",7/11/13 0:54,7/11/13 2:40,1:46
AAL1024,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KOKC,Will Rogers World,"Oklahoma City, OK",7/11/13 0:55,7/11/13 1:32,0:37
DAL84A,MD88/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KATL,Hartsfield-Jackson Intl,"Atlanta, GA",7/11/13 0:55,7/11/13 2:43,1:48
EGF3345,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLEX,Blue Grass,"Lexington, KY",7/11/13 0:56,7/11/13 2:51,1:55
AAL962,B772/Q ,SBGR,Sao Paulo,Sao Paulo,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:57,7/11/13 10:59,10:02
AAL2237,MD83/Q ,KDCA,Reagan National,"Washington, DC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:57,7/11/13 3:38,2:41
AAL843,MD80/Q ,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:59,7/11/13 2:33,1:34
